"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2"
"https://lh3.googleusercontent.com/a/ACg8ocKnOFPuHdttaIhcP5fGEdX4faLRT0nEVHCc9q9rBNU4Tj3J7w=w36-h36-p-rp-mo-ba5-br100","Víctor García","Local Guide · 157 reseñas · 881 fotos","Hace 4 años","El centro comercial La Gavia a cinco minutos","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXUG_XJkjiFOGUIXyWEETzmLzBNnIOBILAlz8LWW99fofNqGAkhkQ=w36-h36-p-rp-mo-ba5-br100","Hector Ayarza","Local Guide · 135 reseñas · 811 fotos","Hace 3 años","Estación de Metro Línea 1 muy cómoda y completa","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVaI5iktJcp8Se2kNanx253KY3nilmSiqzFyEQDFcD93sUvgZE=w36-h36-p-rp-mo-br100","Angel Emilio Beltre Reyes","2 reseñas · 3 fotos","Hace 6 meses","Excelente","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocLVkeKn40E3oMMeWm0-2OpqUhD-sJt8eLs90bS0ilhsy5HDVQ=w36-h36-p-rp-mo-ba4-br100","Xejo Del Río","Local Guide · 100 reseñas · 23 fotos","Hace 6 años","Es la parada mas cercana al centro comercial La Gavia","","","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocImfUz3xUFMH74XHanRYPnIzpY3rKx__4huyB8O_kS7Hgxeig=w36-h36-p-rp-mo-br100","Miguel Martínez","36 reseñas","Hace 7 años","Estacion Estrella. A un paso de obtener las mejores ofertas en el carnet de conducir. AUTOESCUELAS PREMIUM","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXTcpIg9Vfpuy_JT_u41P5LEidrwBjGLtNX0GKDUdKYGgesKO8G5w=w36-h36-p-rp-mo-ba5-br100","Ramon Estévez Fernández","Local Guide · 32 reseñas · 1.312 fotos","Hace 7 años","Estación amplia, buenos servicios y ascensor.","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjW2JrBkb5ijTXLaJzUdSKjMTfuqwxgfWoOMeaLsR1-UofZrFmMWHg=w36-h36-p-rp-mo-ba6-br100","Amy Orquidea","Local Guide · 571 reseñas · 434 fotos","Hace 4 años","Es un barrio amplio y tiene el centro comercial de la Gavia","","","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVSwOkaRH0o3rBxKwsUMJILvU4bMvpaykFBUJF6ek2X4DE2e2Ei_w=w36-h36-p-rp-mo-ba5-br100","Miguel de la Fuente","Local Guide · 518 reseñas · 410 fotos","Hace 8 años","Estacion mas cercana a al centro comercial La Gavia.","","","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocI4rdPqxKusIcs2Cn_5lI2nshTC4Zd8ALtuQKOOp-Vfsn5zoA=w36-h36-p-rp-mo-ba6-br100","Javier Aguilar","Local Guide · 396 reseñas · 1.828 fotos","Hace 7 años","Estación nueva, limpia y bastante grande","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjV_XF8nEtLZg-3_IFJkke4bul0Y63QmeuTOxidjg0NZZT3fLgKn=w36-h36-p-rp-mo-ba4-br100","Alejandra Zelaya","Local Guide · 140 reseñas · 72 fotos","Hace 8 meses","Accesibilidad siempre.","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXTO7ULO8YV2QM8FdZ186NxtO7enI4m3TBtNpkvu8964LBE3H82vg=w36-h36-p-rp-mo-ba4-br100","Guillermo Bustelos","Local Guide · 65 reseñas · 347 fotos","Hace 7 años","no esta mal, una estación mas","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjW6uSrxnaYJdUkOYAnLpWvdi8Hm1nxnoZKW5tZEo8trjhPqygtH=w36-h36-p-rp-mo-ba5-br100","Juan Antonio Guerrero","Local Guide · 475 reseñas · 1 foto","Hace 3 años","Muy amplio","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXxwNGwkN1f-RmB8OMoWBFKltAk-vaXBJlkYYR7HGutIynBdb9F=w36-h36-p-rp-mo-ba6-br100","Antonio Lorenzo","Local Guide · 549 reseñas · 75 fotos","Hace 4 años","Excelentes instalaciones","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjVZY0HoHOb7lzycQDWjKey0rY0ABGKAZdibLczqX3_UWre4TRE=w36-h36-p-rp-mo-ba7-br100","Urban Traveler","Local Guide · 2.516 reseñas · 6.646 fotos","Hace 4 años","Estación moderna en un bonito barrio nuevo. Si planeas visitar el centro comercial La Gavia, bájate aquí","","Compartir","","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXg4mcmUPafAKpTH9kpVNwngXmM4g2ORNwEf1pAcshdxM29jk8w5Q=w36-h36-p-rp-mo-ba4-br100","Fresia Colan","Local Guide · 99 reseñas · 14 fotos","Hace 9 meses","Bien","","Me gusta","","Compartir"
"https://lh3.googleusercontent.com/a-/ALV-UjXnaPP98blNNKn_feKwXPOxaq6jk60dsKIxNdPDblvKM_LaYaAe=w36-h36-p-rp-mo-ba4-br100","Ileana Raven","Local Guide · 136 reseñas · 16 fotos","Hace 4 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV2lmu-KCFgL_dHXSmJwhzD97HB99JAQVV_NpImOCHNNE5GYc9f=w36-h36-p-rp-mo-ba4-br100","Rafael Moreno","Local Guide · 12 reseñas · 9 fotos","Hace 4 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWR8-n58fEszrtbV1YTcjCBlVhs7pDe32ZczX0mJCMgSrRa6Bet=w36-h36-p-rp-mo-ba4-br100","Ana Gouveia","Local Guide · 100 reseñas · 2 fotos","Hace 5 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW5CqaBmJFMiPaQtuLE2cYpY3ctgn3J8rgM6lGT1d0UOJ5MfwF2=w36-h36-p-rp-mo-ba4-br100","JHON JAIRO FIERRO","Local Guide · 21 reseñas · 271 fotos","Hace 8 meses","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNGL0wrWEdm-5MZZJNoVwF-srOzKyRNW80PkKKqOWV2Fo1we9-Aw=w36-h36-p-rp-mo-ba6-br100","ANTONIO","Local Guide · 868 reseñas · 193 fotos","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKY-gJnBFyeL-suTJUhxX_BZNFVwPLIH7JSqO98IDfwpsmNGA=w36-h36-p-rp-mo-ba2-br100","ANA ISEA","Local Guide · 25 reseñas","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL-mAzlaYzjPYyAbDqPGXjGfGaSJB8eHhBkC_bwO-x2H-80LQ=w36-h36-p-rp-mo-ba6-br100","Felix Rodriguez Herranz","Local Guide · 19 reseñas · 2.271 fotos","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVoQWgDHyiCzVytZrf66qzByJixzn80eerTpJQ-GLNokfhKRWs=w36-h36-p-rp-mo-ba4-br100","Rafael Alvarado Villalón","Local Guide · 148 reseñas · 310 fotos","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocI_IoeejhKfwiQF1OM4bz5haS8uKu7r_691HtgczdpfGLu16Q=w36-h36-p-rp-mo-br100","Youssef Taoumi","1 reseña · 3 fotos","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW48388a6dEF6DFgnjBRK8nhCyEulOhRAAng_YB3m7ZlnChUMkI=w36-h36-p-rp-mo-ba4-br100","fernando ariel cervantes","Local Guide · 73 reseñas · 132 fotos","Hace un año","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL6r3foBx597E0HGFYKzt9hrt8uV2Gi4AeKvQosnBofhLxRew=w36-h36-p-rp-mo-ba4-br100","Jesus Lopez","Local Guide · 40 reseñas · 34 fotos","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVOBKgNaC-E-XYU_5VHO6STzTmpFbSZghJQWOnCPpXWT1iEWIHU=w36-h36-p-rp-mo-ba5-br100","Guillermo Martin","Local Guide · 35 reseñas · 1.772 fotos","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9i_P6JURqFkXtbY3TKz_cprGzIhJab3iKTLdDegwZKIjusVwhHw=w36-h36-p-rp-mo-ba2-br100","marcos","Local Guide · 14 reseñas · 4 fotos","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJFtwxdWvhZB6CkjCaHE_RT4loS-0Gp-SL8VezOqWpyJgwttw=w36-h36-p-rp-mo-ba3-br100","DIEGO","Local Guide · 25 reseñas","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK87cw2HfsjTN-KBQoYq5T5kZWRwivqmpZvtI1pJbyOIFDM7A=w36-h36-p-rp-mo-ba3-br100","Susana Abellan sanchez","Local Guide · 68 reseñas · 2 fotos","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZ3_WcBZMH1wymwdL3wmaOpuWIAAlwwNmpsYBv8kbieSlIJIpoag=w36-h36-p-rp-mo-ba4-br100","Ana Álvarez","Local Guide · 53 reseñas · 31 fotos","Hace 2 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIQowI3yqEPjZM1d7y28cARu14JEXAfL5vR0QUwVsim0yxIAQ=w36-h36-p-rp-mo-ba4-br100","Julián Márquez Castaño","Local Guide · 3 reseñas · 290 fotos","Hace 3 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWC9_mftP3lTi7CkdgGFrB7S39Sv5Ghm_MsIFijTIcaeHiYGqjBFQ=w36-h36-p-rp-mo-ba4-br100","Rene Fidel","Local Guide · 39 reseñas · 162 fotos","Hace 3 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXLZoIL75qm4izcMtUYmEBcieNEkknKiQi-u0IGXfe2Frfa1jUslQ=w36-h36-p-rp-mo-ba5-br100","Agustin Gomez","Local Guide · 367 reseñas · 514 fotos","Hace 3 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWAMfjQkg_CqYioyqmJ4MAzWrnm89cCdaBjRCaxfbcLwNsTygL2hw=w36-h36-p-rp-mo-ba3-br100","Rosa de María","Local Guide · 21 reseñas · 61 fotos","Hace 4 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVi9sr71j4nZe5XcbiwQ-wKG_3y9WEUwNo6JY4PeCtZgHgIb27L=w36-h36-p-rp-mo-br100","Camelia Crisan","7 reseñas · 8 fotos","Hace 4 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX1r8sCYrLjh58NcD1VB_LAg8HsRfn7an6cHP-AJa-U8lic8FbM=w36-h36-p-rp-mo-ba4-br100","Toñi Velo","Local Guide · 109 reseñas · 488 fotos","Hace 4 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK9tmPZyrUSPUaa9p1Iw-Fbkrn3lFsVj1O4522kkVPNJ7E_5A=w36-h36-p-rp-mo-ba3-br100","Nacho","Local Guide · 81 reseñas","Hace 5 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL-E58HmGfLbuen_uZq3A8p9T6YqsuDUetLK4HgMS9nMdEdLw=w36-h36-p-rp-mo-br100","Concepción Vázquez","","Hace 6 años","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL16vt2OqW15kXhBQDmmYQqDRuyaY2XB_rY5KtcWTTTPKyDPQ=w36-h36-p-rp-mo-br100","Souad Naji","","Hace 6 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_w7XBZQ9KhRWWrhCKy-q-53_NckCvO7nLdqMlvSMOCDZItj-c=w36-h36-p-rp-mo-ba6-br100","lidia bem","Local Guide · 485 reseñas · 5.031 fotos","Hace 7 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsyQHeaBNyAPqDjETLmKVUFwbbYjgli7alvHc9IdkWP3b8k6-cAg=w36-h36-p-rp-mo-br100","Javier Rodriguez","1 reseña","Hace 7 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVVOwt4FE00wO3AzRC5h60A5jrzMpe0Ljw2W-H-FNyJlotb4leG5Q=w36-h36-p-rp-mo-ba5-br100","Nacho Soldevilla Martínez","Local Guide · 206 reseñas · 206 fotos","Hace 7 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7VGmRy8j-Qtg6RxnQ4K9AD0w_PSRfiIZm0hTlt0dlwLmCXgmhFw=w36-h36-p-rp-mo-br100","Dana Alvarez Henao","11 reseñas · 2 fotos","Hace 7 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWwLinCgBo2dHS-kWQ_46PFYmhIZYI3JRyCF3CITcXUJYyuAoow=w36-h36-p-rp-mo-ba2-br100","Vitty X","Local Guide · 16 reseñas · 12 fotos","Hace 7 años","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7IhaGs4GMGXmUzBcS4gh_l0tcyFtC_EJTcjYx6U5sd80WJsialw=w36-h36-p-rp-mo-ba3-br100","Ana Maria Ruiz Munoz","Local Guide · 21 reseñas · 10 fotos","Hace 8 años","","","","",""
