"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjVcH7wh-UuT1yWMHqzyRYgtGI-4FbxvuMgZVCdCeVRQHy9I_EeL=w36-h36-p-rp-mo-ba5-br100","José Luis Villena Rodriguez","Local Guide · 281 reseñas · 678 fotos","Hace 2 años","Uno de los barrios más históricos de Madrid, pintoresco y multicultural, ideal para el tapeo de fin de semana. Imprescindible pasear y callejear por sus calles","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWvNEQZxbNivWAxxnpCBM75lQ_ED_w81LorbOwD0iD9mcFAVAao=w36-h36-p-rp-mo-br100","B3NA","2 reseñas · 1 foto","Hace un año","Fui a ver Clockers la tienda de Yung beef y me encontré esto en el tren 😅😅…","","Compartir","","","Me gusta","2"
"https://lh3.googleusercontent.com/a-/ALV-UjV-k9hBwsnRdjkGwamhVjuOlC3N88ChN3V-KJyZe80COsmpK5Cxtg=w36-h36-p-rp-mo-br100","L.I","348 reseñas · 534 fotos","Hace 2 años","Buen barrio con ambiente joven y buenos restaurantes donde comer bien a precios normales. Y asequibles. Tiene un metro estupendo donde te atienden fenomenal, y te guían en todo lo que necesitas. De madrugada también me sentí segura saliendo sobre las 5.30am para coger el primer tren de Atocha.

A destacar sin duda el Carrefour que abre 24 horas y las terrazas siempre con gente que le da la vida. Por la noche se puede dormir sin ruidos.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXuTVw4Tsv1pUDslbSVOrFgQ_VIjjEBfgbOuvOTnDg38Re51YizYA=w36-h36-p-rp-mo-ba2-br100","Carlos Espinoza","Local Guide · 22 reseñas · 1 foto","hace 3 días","Excelente parada","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUBUEVPPkowG8jhsugzUef4zwvfIicdEv0UqvJ6kL8LvYBgxZJqXg=w36-h36-p-rp-mo-ba4-br100","Yessi Now","Local Guide · 162 reseñas · 230 fotos","Hace 6 años","Es la estación más cercana a mi casa, está un poco sucia a veces, porque siempre hay fiesta los fines de semana y además las escaleras eléctricas, el ascensor y algunos torniquetes la mayoría de las veces presentan averías. Debería cuidarse un poco mejor, siendo una estación pequeña tiene mucha concurrencia y está descuidada.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX8C2_hX8atlKq89Y_QgUkgYvLbXmx3tVLAZl4yvlxHc0wkGAQ6=w36-h36-p-rp-mo-ba6-br100","MDVigo","Local Guide · 897 reseñas · 4.516 fotos","Hace 6 años","Es un barrio interesante y multicultural, con multitud de cosas para hacer.

Hace años era peligroso, aunque hoy en día me atrevería a decir que ya no lo es tanto, de hecho está permanentemente vigilado por la policía y el alquiler de los pisos no para de subir por la gentrificación.

Ah, y que los negritos vendan marihuana en esta plaza forma parte del encanto del barrio 😜","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUk-p-0TMBhGhcPWTeVTpbfCCTYr4PYx53alPuz9W3i27HJqLN-=w36-h36-p-rp-mo-ba5-br100","M. A. Lavalle Salvatori","Local Guide · 176 reseñas · 636 fotos","Hace 4 años","El barrio más castizo de Madrid y más internacional, en medio de sus edificios y callejuelas adoquinadas te encuentras un bar Vasco, otro asturiano y topar de frente con un restaurante indio o mexicano, así es Madrid, único.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWC698abxbFojsNVDFdRRhEdm-JqJg43wx_c8HU0UNT0dgXlzBK=w36-h36-p-rp-mo-ba5-br100","Enrique Díaz Martínez","Local Guide · 240 reseñas · 154 fotos","Hace 2 años","Estuvimos en la fiesta de los mayos y las mayas de Lavapiés, recuperadas recientemente en este barrio de Madrid. Espectacular despliegue de colores y tradición folclórica castellana común a otros pueblos de la región. ¡Enhorabuena buena por la labor!","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUapxo-48uwj0xWKa3UCR2waZJXtzXav-JXuTqguXFxm7pGWunR=w36-h36-p-rp-mo-br100","David Luis Valverde Collado","7 reseñas","Hace 6 años","Es un barrio de los más castizos de Madrid y debería de ser uno de los más importantes, el problema es la gentuza que se ha instalado desde hace varios años y ha degradado el barrio hasta el punto de ser peligroso. Soy vecino desde niño y se bien de lo que hablo. La vida en este entramado de calles no es tan bonita como le puede parecer al visitante de paso. Drogas delincuencia e inmigración ilegal... Esa es la realidad de este barrio tan bohemio y multicultural como le pintan. La suciedad y el estado lamentable de las calles es otro punto fuerte de esta zona, da asco. Ni el Ayuntamiento de Madrid ni la Delegación del Gobierno ponen soluciones a estos problemas. Que le pregunten a los vecinos de toda la vida si Lavapiés está de moda, como dicen ahora... Gracias.","","","","Compartir","Me gusta","4"
"https://lh3.googleusercontent.com/a-/ALV-UjVTxEW3yZJDLkpx-eOVBJ_GgJmcrYOPpzZWCzf_ByYGk5Y4Zz0=w36-h36-p-rp-mo-ba3-br100","Isabel Millán Díaz","Local Guide · 20 reseñas · 7 fotos","Hace 3 años","El mejor barrio de Madrid ❤️","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNAi8zxRYYwq0L4dW4VmQuCwvmDUIZZiY0R8Mt6pwzdiRrRrCv7w=w36-h36-p-rp-mo-ba4-br100","Ion de la Rocha","Local Guide · 77 reseñas · 46 fotos","Hace 6 años","Barrio castizo por excelencia pero que ha perdido una buena parte de su autenticidad debido a la gentrificación. Todavía mantiene lugares que merecen la pena como El Boquerón o la Chulapa para tapear y La Aguja o La Mancha para cañear. Merece la pena visitar el Mercado de San Fernando y la Biblioteca de la Uned","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocLPg9TgP-ytxKWreMpSkNcFjY6U_q2bAnB7PxM8U3c10AiDZg=w36-h36-p-rp-mo-ba3-br100","Amina B","Local Guide · 40 reseñas · 1 foto","Hace 6 años","Un barrio multicultural de Madrid, con buen ambiente, con mucho s restaurantes y cines al rededor. Pero eso sí, mucha suciedad al rededor de la plaza y de la estación de metro...","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXVUjWYUm4wCK8zVpsrOCvxNXdvYqpfWDKmwOEa6i8tWs7Zdur9=w36-h36-p-rp-mo-ba3-br100","Ennis López","Local Guide · 58 reseñas · 40 fotos","Hace 2 años","Bonitas calles. Además es una zona universitaria con muchas bibliotecas cercanas. Acudí allí en busca de una y encontré múltiples opciones para estudiar.","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRD64SUFldwA0cEJ4nnh8-epXkeodd97n7JZnjUY1yuCm1LKj4lA=w36-h36-p-rp-mo-ba3-br100","Felicia Then (La feli)","Local Guide · 26 reseñas · 28 fotos","Hace 11 meses","Es un lugar muy especial, tiene muchas historias en sus edificaciones","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWoElYtT_ANQYKo4FRSRnj6CwaqGi9nFoZHUZo_B7bR-_HO17WF=w36-h36-p-rp-mo-ba5-br100","Claudio Annecchini","Local Guide · 298 reseñas · 305 fotos","Hace 7 años","es la entrada por metro a un barrio muy pintoresco donde se juntan todas las culturas y comunidades.
Es muy común ver personas vestidas con trajes típicos de bolivia, arabia, áfrica, etc.
Vale la pena visitar","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXh6ZPySiJupadTkQt2kQ0Knem7veISv4l5p_TSfCmynBLZWX5yZg=w36-h36-p-rp-mo-ba5-br100","Carlos Marqués","Local Guide · 51 reseñas · 1.506 fotos","Hace 2 años","#lavapiés #madrid #arcoiris","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUICsuIDrf-aLgRlC4bSguKm-4hxlMEs4vs85n3AAx0ubP69kv7=w36-h36-p-rp-mo-ba5-br100","JC Aguiar","Local Guide · 336 reseñas · 380 fotos","Hace un año","Está muy bien con gente maja, multinacional y no señoritos de los barrios adinerados de Madrid","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocKNeD8FQzuUZc5mhu0OP7JCpgubdjpYIUmrki1O1WvJAhSR_w=w36-h36-p-rp-mo-ba4-br100","Inés Pérez","Local Guide · 93 reseñas · 137 fotos","Hace 7 años","Me encanta ere barrio. Super peculiar.","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXud14yFqUS82rke1g3xTS2eXRqstm1RDCpSzlgy-6O3lEqkE_T=w36-h36-p-rp-mo-ba6-br100","Fernando Chacoris","Local Guide · 375 reseñas · 29 fotos","Hace 2 meses","Parece la Torre de Babel...","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocJ58iPwpeQsOsVPQtXzNgUSTjea2qljPV4OAQhFWdRHvxRA_w=w36-h36-p-rp-mo-ba5-br100","Eugenio Hernando","Local Guide · 76 reseñas · 1.327 fotos","Hace 6 años","Plaza de Lavapiés

Una de las plazas más castizas y antiguas de la ciudad de Madrid, evocada en la zarzuela, (El barberillo de Lavapiés, texto de Luís Mariano de Larra y música de Barbieri).
Ahora será esta zona, donde hay mayor variedad de locales comerciales de países extranjeros, restaurantes, peluquerías, ultramarinos, ropa, etc. de India, Bangladesh, Marruecos, Pakistan, Turquía, etc.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVdfrgGayPiQIQ_pti2qUQEsrdfxUXKWAOxMlA5UgQnhMogJRhN=w36-h36-p-rp-mo-ba4-br100","rene ARSOI","Local Guide · 93 reseñas · 23 fotos","Hace un año","Un barrio pintoresco y animado. Bonito a la vez que genuino y diverso.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV07tJtlBN06hNx37eOpMgO6xdyUsC0ZygPsM8yHCOTtMfET5Cc=w36-h36-p-rp-mo-ba4-br100","Sagra","Local Guide · 110 reseñas · 8 fotos","Hace 7 años","El mejor barrio de todos","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXgNh5KlnY8ns3Qae77scIp5Uz12X0KpWa14Sjkwxrvd4c5CD5G4w=w36-h36-p-rp-mo-ba2-br100","yone tavio","Local Guide · 3 reseñas · 83 fotos","Hace 6 años","Me encanta, es un barrio de madrid con muy buen rollete, es muy colorido y ademas lo edificios antiguos son preciosos👌❤…","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocIDSteX3qSF-HLC5xtci9Z5A0edsAwxFezBhIiV1FTj2Z0d=w36-h36-p-rp-mo-br100","ola kase","11 reseñas","Hace 8 años","Este es tu sitio si quieres pillar. A la salida del metro, tan fácil como hacer contacto visual prolongado con uno de los muchos africanos que andan por ahi. Ojo no te timen brother, la clave está en la confianza, como te vean un poco primo las liao","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.805 reseñas · 12.351 fotos","Hace 7 años","Situada junto al Teatro Valle-Inclán. Ascensores.","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.888 fotos","Hace 6 años","Su ubicación es muy buena, muy céntrica. Tiene una sola salida a la superficie, que da a la plaza. Vestíbulo grande y limpio.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEjpp34MOWmGYm0zEZVBNGH3s8ufPxqZAMcuZNneM2wWTfo5QyYw=w36-h36-p-rp-mo-ba8-br100","Rosa Franco Mendoza","Local Guide · 904 reseñas · 18.601 fotos","Hace 6 años","La estación de Lavapies destaca por sus  carteles en el suelo #LetsGuide","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXo6F3StlA6qdcnxci8kBjqgGcLr33KxHDpFNKBOOeF2TPB4_U5=w36-h36-p-rp-mo-ba5-br100","Loli Villagran","Local Guide · 84 reseñas · 891 fotos","Hace 2 años","Es una zona muy céntrico donde pasan todos los días bastante gentes diario la zona de lapavies.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWSpENp_-04Ael7Z5Zxuz_tiVFsNMJKmAXEAsjbwufaE2jrQMaE=w36-h36-p-rp-mo-ba5-br100","Jonathan Damas Rodríguez","Local Guide · 258 reseñas · 2 fotos","Hace 2 años","Barrio multicultural, alternativo y concurrido, con una gran oferta gastronómica y de ocio.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXfnuC6tDcOVt8oOHKSZzc7X5MO-eUtbFl5AU4PtPSZadeWjcU=w36-h36-p-rp-mo-ba6-br100","Juan Carlos De Sousa","Local Guide · 267 reseñas · 496 fotos","Hace 3 años","Gran Barrio multicultural y con gran diversidad de locales , restaurantes y bares de tapas","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUmwGytYNeic_pjzLSmjiAFg4WGkhANyR56pwDilxEDM82X8czZ=w36-h36-p-rp-mo-ba3-br100","Daniel M. M.","Local Guide · 31 reseñas · 6 fotos","Hace 6 años","Siempre limpia. Lo único que las escaleras muchas veces están rotas, se rompen cada dos por tres. Hay ascensor que funciona bien.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocK_dQzPdnrgyiBsvGDmsTdoyRkglG8LeWORpOIUBDvM0yKJvw=w36-h36-p-rp-mo-br100","Maria Monrroy","2 reseñas","Hace 4 años","Todo a subido y sin guantes para hacer la compra llevan todo el mes sin ellos te ponen bolsas para que las utilices en coger la fruta, súper incómodo, muy mal 😡😡😡…","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXdcVs2sDe4oYQMY2Fq8pSK_-L0RadL-zIVUgFvdesjpho9VY-D=w36-h36-p-rp-mo-ba6-br100","Javier Martín","Local Guide · 241 reseñas · 3.558 fotos","Hace 7 años","Una plaza llena de vida y multicultural.","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVinQMOPOJXFl4DGD5jgXIt7XkMtJ6ExH10kcTbH5yMgww34dyxoA=w36-h36-p-rp-mo-ba5-br100","Juan Francisco Torrejon Puerto","Local Guide · 104 reseñas · 5 fotos","Hace 3 años","Muy grande a la vez que castizo , pero muy repleto de gente  y además  muy multi cultural  .    .     .","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocL2-aif1JWFW95q8YnKh8R0h49TTXq_Vn1SU6_yn0mlUGgHBg=w36-h36-p-rp-mo-br100","Nico De la Hoya","3 reseñas","Hace un año","Barrio africano, en la plaza de Lavapies han marcado territorio los africanos.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWJWfBz_o7qLe0SXVXtAWOUd45ZQxd33kcLViR4P6Kc8oOs9b8=w36-h36-p-rp-mo-ba3-br100","Ma Ca","Local Guide · 47 reseñas","Hace 4 años","Estación de metro grande que pertenece a la linea 3. Tiene ascensores y cobertura movil. Solo tiene un acceso a la calle.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWK0RoHHAIqwWAlHxnKwCRUW-glvMoG5Dl94YJ4-GehJEP_qNm=w36-h36-p-rp-mo-ba3-br100","Lanot Berthony","Local Guide · 15 reseñas · 55 fotos","Hace 3 años","Barrio multicultural, buen ambiente,bares, teatros etc..","","Compartir","","","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocKGbhpdcPo_D26ykI3ECpUW27G_LCM_L2WhQb3fIwaXQl_JVw=w36-h36-p-rp-mo-br100","Laura Vera","9 reseñas","Hace 6 años","Lugar alternativo y de estilo muy urbano que te hará disfrutar de Madrid","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV12R2o7dUq0pg4ZCWatJof5Bk9aaQDWK9Lw0TAF4s88mlfhE-M=w36-h36-p-rp-mo-ba3-br100","miguel López","Local Guide · 14 reseñas · 71 fotos","Hace 6 años","Super, agradable, muy buena cocina de pinchos, sitio muy alegre. Mola","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXgG52Ai6uiR7y2fM_oY2NZf_oZHrTbxdayo1VSoSrI-sY5DjwFYA=w36-h36-p-rp-mo-ba3-br100","Miguel Moura Martínez","Local Guide · 26 reseñas · 17 fotos","Hace 8 años","Precioso barrio! Céntrico, con todos los servicios y accesible a todos lados caminando","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0IJW0HEXob_tWlKONpJln6NfIiPN2FgJSVALs0lxJJ5RB5EUG=w36-h36-p-rp-mo-ba7-br100","Gabriel Martin Alvarez","Local Guide · 903 reseñas · 3.457 fotos","Hace 6 años","Me encanta pasear por la zona y comer en los restaurantes de las diversas partes del mundo que hay","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWTf50c-RGcZ_TkEDvjv4jnIO_0upPe9duMXPtrEEtUbGrh0B43=w36-h36-p-rp-mo-ba4-br100","Luis Marcano","Local Guide · 98 reseñas · 190 fotos","Hace 4 años","Buen barrio para comer cómoda de la India y a ir pornun par de birras","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-gOWbiA1KGP2Zb__xMOTi9REe7kHUr9C0Ssc_alI_aLMmQq3WEQ=w36-h36-p-rp-mo-ba7-br100","Olivier Rodríguez","Local Guide · 1.385 reseñas · 10.275 fotos","Hace 6 años","Un barrio multicultural de Madrid. Buena cocina de diferentes países.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXv7xeClaRg6U2TfjuKBBL4C-JK3Js5t-P5ssxlDdut4_mR8diNDg=w36-h36-p-rp-mo-ba5-br100","Juan talavera","Local Guide · 231 reseñas · 200 fotos","Hace un año","Es un barrio con mucha solera y diversidad!👹💪🏼…","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMPOgfOcAcx88msUnBYAIgSBQwVuXZi2ShPUfK7RoCYG7-xWs=w36-h36-p-rp-mo-ba5-br100","Roberto Mendez","Local Guide · 386 reseñas · 540 fotos","Hace 2 años","Las mejores fiestas de Madrid.","","Compartir","","Me gusta","",""
"https://lh3.googleusercontent.com/a/ACg8ocJz-iWIyk7WEEyEGXqf4xLC6pSMHkVLP-AI2hfZf8CXsNisow=w36-h36-p-rp-mo-ba4-br100","Waldi Hernandez","Local Guide · 45 reseñas · 38 fotos","Hace un año","Sus calles son preciosas. Los balcones con flores.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ4t9O2J32s3dkrv2sBz_LUZkzztZeBfI5kB_oIBqKnixu5r68=w36-h36-p-rp-mo-ba5-br100","Horacio Perez","Local Guide · 203 reseñas · 488 fotos","Hace un año","Lindo barrio de Madrid","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU-zVHLpofx3Kp5mI0OiZLasiI9P2vcp0UDUcnDpSwebmmPUYAI=w36-h36-p-rp-mo-ba2-br100","Aless","Local Guide · 18 reseñas","Hace 7 años","Me lo paso muy bien en este barrio, te puedes encontrar de todo, tal cual.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUUccmvODbn5v6FHxt7wkv_qiEPKRvuHjU0G4nGHa3A0D82uOpQjg=w36-h36-p-rp-mo-ba3-br100","Saquib Alhoque","Local Guide · 48 reseñas","Hace 3 años","Increíble, el mejor barrio de madrid","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUcajrtW2TUvzYPLb0bC3eMOrJrvETAa98-ZKyC98D0H5ECollv=w36-h36-p-rp-mo-ba4-br100","Ramon Espinosa","Local Guide · 56 reseñas · 57 fotos","Hace 2 años","Un barrio muy cosmopolita","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVEGcHIArjHissNHwL-RRiM6YQ9oKa-qMZMX984ufigCwZWNB3nEw=w36-h36-p-rp-mo-ba4-br100","Tomas Corral","Local Guide · 58 reseñas · 76 fotos","Hace 6 años","Increíbles mercados y restaurantes de todos los lugares del mundo. Un inquietante lugar que merece la pena descubrir","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWnCRZ2FU5DkF-zO-CEt1NYPGcpiadryRiBStmmg7En9dTAniC9=w36-h36-p-rp-mo-ba4-br100","Ana Acuña","Local Guide · 107 reseñas · 2 fotos","Hace 3 años","Me encanta que tiene un supermercado abierto 24h","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w36-h36-p-rp-mo-ba7-br100","K","Local Guide · 1.255 reseñas · 2.852 fotos","Hace 4 años","Adaptado para personas con movilidad reducida con ascensor en superficie","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocJn_SyXARODX-tRZ-zQC5qlM0S4XgXpLxpZKx9imvzBIcvVmA=w36-h36-p-rp-mo-ba5-br100","JUAN ANTONIO","Local Guide · 144 reseñas · 1.034 fotos","Hace 6 años","Buen barrio pero muy sucio todo.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX84xvIVUZQ6gImFmwtVwbvnriIWY3Z2HKT4cfDbyRMS5AYr7P0OQ=w36-h36-p-rp-mo-ba5-br100","CRIIS CRIIS LORENZANA LORENZANA","Local Guide · 96 reseñas · 642 fotos","Hace un año","Un sitio donde se encuentra de todo un poco","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVYWCSdUUculxBcRgINXZoC60x2IzEMCnHpEVbTkRhI1alzAl0=w36-h36-p-rp-mo-ba3-br100","Monica Marcela Fernández Álvarez","Local Guide · 28 reseñas · 8 fotos","Hace 7 años","Un lugar multicultural, bohemio y muy interesante!","","","","Compartir","Me gusta","1"
